id_unidade;nome_unidade;nome_abreviado_unidade;email_unidade;email_unidade_2;email_unidade_3;telefone_1_unidade;telefone_2_unidade;cie_prodesp_unidade;nome_prodesp_sed;conveniada;nome_unidade_SOMAR;id_unidade_SOMAR;transporte_grupo_atendimento;endereco;endereco_numero;endereco_complemento;endereco_bairro;endereco_cep;regiao_SE_descricao;endereco_google;terreno;latitude;longitude;modalidade;Niveis_Integral;Niveis_Parcial;Niveis_Noite;unidades_dif_acesso
332;El Elion Creche 1 - Instituto Assistencial Edificando Vidas;El Elion CC 1;crecheeducacionalelelion@gmail.com;;;4472-3771;940469577;6490;CRECHE EL ELION;1;Creche Parceira EL ELION;652;G3;Rua Ministro Edgard Costa ;201;;Jd do Lago;;Jd. Thelma e Jd. Cláudia;-23.73654 -46.57746;;-2.373.654;-4.657.746;CC;Infantil I,Infantil II;;;
341;El Elion Creche 2 Instituto Assistencial Edificando Vidas;El Elion CC 2;crecheelion.unidade2@gmail.com;brunazucchino@gmail.com;kleyton.cw@gmail.com;1599853-6105;99978-5180;7437;EDIFICANDO VIDAS II;1;Creche Parceira EL ELION II;665;G2;Rua Guarapuava;20;;Jardim Represa;09843-350;Jd. Represa, Parque Los Angeles e Parque Imigrantes;-23.77943 -46.59796;;-2.377.943;-4.659.796;CC;Berçário Final,Infantil I,Infantil II;;;
525;Eliane Quinonero, EMEB;Eliane Quinonero;;;;;;<>;;0;;0;;;;;;;;;1;;;C;Berçário Inicial,Berçário Final,Infantil I;;;213 OR 214 OR 524 OR 525
51;Erminia Paggi, EMEB Prof.;Erminia Paggi;erminia.paggi@saobernardo.sp.gov.br;;;4345-1680;;227997;ERMINIA PAGGI PROFESSORA EMEB;0;Ermínia Paggi, Professora - EMEB;40;G5;Rua Marisa Prado;166;;Jardim Palermo (Santa Terezinha);09780-410;Centro;-23.71527 -46.53379;;-2.371.527;-4.653.379;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
331;Espaco Solidario 1;Esp Solidario 1;solidario.espaco@gmail.com;;;41035974;;6457;ESPAÇO SOLIDÁRIO ASSOCIAÇÃO ASSISTENCIAL;1;Creche Parceira ESPAÇO SOLIDÁRIO I;656;G3;Avenida Barao de Maua;523;;Jd Maria Adelaide;; Vila Euclides e Vila Marlene;-23.69585 -46.56077;;-2.369.585;-4.656.077;CC;Infantil I,Infantil II;;;
333;Espaco Solidario 2;Esp Solidario 2;espacosolidario.unidade2@outlook.com;;;2598-7022;;6946;ESPACO SOLIDARIO ASSOCIACAO ASSISTENCIAL II;1;Creche Parceira ESPAÇO SOLIDÁRIO II;658;G1;Rua dos Vianas;413;;Baeta neves;;Baeta Neves;-23.6995 -46.54835;;-236.995;-4.654.835;CC;Berçário Final,Infantil I,Infantil II;;;
347;Espaco Solidario 3;Esp Solidario 3;espaco.solidario3@emeb.saobernardo.sp.gov.br;;;4339-7779;964637415;8036;ESPACO SOLIDARIO ASSOCIACAO ASSISTENCIAL III;1;Creche Parceira ESPAÇO SOLIDÁRIO III;669;G5;Rua Dom Vasco Mascarenhas;163;;Jardim Silvina;;Jd. Silvina;-23.73732 -46.53672;16;-2.373.732;-4.653.672;CC;Berçário Final,Infantil I,Infantil II;;;
196;Esperanca, Entidade Instituicao Assistencial e Educacional Jardim de;Esperanca CC;mara@jardimdeesperanca.org.br;jardimdeesperanca@jardimdeesperanca.org.br;;4173-3230;;291900;JARDIM DE ESPERANCA INSTITUICAO ASSISTENCIAL EDUCACIONAL;1;Creche Parceira JARDIM DE ESPERANÇA;280;G3;Rua Eugenia Sa Vitalli;1120;;Vl. Santa Luzia - Taboao;09665-000;Taboão;-23.66000 -46.61187;;-2.366.000;-4.661.187;CC;Berçário Final,Infantil I,Infantil II;;;
52;Euclides da Cunha, EMEB;Euclides Cunha;euclides.cunha@saobernardo.sp.gov.br;;;4127-3677;;51068;EUCLIDES DA CUNHA EMEB;0;Euclides da Cunha - EMEB;43;G5;Rua Jose Fiuza da Rocha;48;;Vila Sao Jose (Ferrazopolis);09790-445;Jd. Silvina;-23.73491 -46.53597;;-2.373.491;-4.653.597;I;;Infantil III,Infantil IV,Infantil V;;
53;Fernando Pessoa, EMEB;Fernando Pessoa;fernando.pessoa@saobernardo.sp.gov.br;;;4358-1845;;99326;FERNANDO PESSOA EMEB;0;Fernando Pessoa - EMEB;44;G3;R. Vania Silva Santos;57;;Alvarenga;09854-400;Jd. Orquídeas;-23.75213 -46.60132;;-2.375.213;-4.660.132;I;;Infantil III,Infantil IV,Infantil V;;
55;Fiorente Elena, Padre, EMEB;Fiorente Elena;fiorente.elena@saobernardo.sp.gov.br;;;4178-0886;;217505;FIORENTE ELENA PADRE EMEB;0;Fiorente Elena, Padre - EMEB;45;G3;Rua Drausio;900;;Pauliceia;09684-000;Paulicéia;-23.66999 -46.5960;;-2.366.999;-465.960;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
56;Flaminio Araujo de Castro Rangel, EMEB Estudante;Flaminio Rangel;flaminio.araujo@saobernardo.sp.gov.br;;;4351-3022;;278518;FLAMINIO ARAUJO DE CASTRO RANGEL ESTUDANTE EMEB;0;Flamínio Araújo de Castro Rangel, Estudante - EMEB;46;G6;Rua Assuncao;176;;Vl.Marchi;09810-410;Assunção (Jd. Lavínia e Vila Euro);-23.72102 -46.56118;;-2.372.102;-4.656.118;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
57;Florestan Fernandes, EMEB Prof.;Florestan Fernandes;florestan.fernandes@saobernardo.sp.gov.br;;;4109-0720;;217517;FLORESTAN FERNANDES PROFESSOR EMEB;0;Florestan Fernandes, Professor - EMEB;47;G3;Rua Caminho da Educacao;330;;Alves Dias;09851-135;Cooperativa;-23.71684 -46.58833;;-2.371.684;-4.658.833;F;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
59;Francisco Beltran Batistini, EMEB;Francisco Beltran;francisco.beltran@saobernardo.sp.gov.br;;;4358-0225;;111120;FRANCISCO BELTRAN BATISTINI PAQUITO EMEB;0;Francisco Beltran Batistini, Paquito - EMEB;48;G6;Estrada dos Alvarengas;7552;;Jardim Laura;09850-550;Alvarenga e Parque Esmeralda;-23.74576 -46.61235;;-2.374.576;-4.661.235;I;;Infantil III,Infantil IV,Infantil V;;25 OR 59
142;Francisco Diassis Gomes Teixeira, EMEB;Francisco Diassis;francisco.diassis@saobernardo.sp.gov.br;;;4332-6442;;448564;FRANCISCO DIASSIS GOMES TEIXEIRA EMEB;0;Francisco Diassis Gomes Teixeira - EMEB;547;G6;Estrada da Cama Patente;520;;Parque Esmeralda;09842-100;Alvarenga e Parque Esmeralda;-23.74500 -46.59593;17;-2.374.500;-4.659.593;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
60;Francisco Miele, EMEB;Francisco Miele;francisco.miele@saobernardo.sp.gov.br;;;4351-2599;;91662;FRANCISCO MIELE EMEB;0;Francisco Miele - EMEB;49;G2;Rua Armando Backx;401;;Vila Jerusalem;09811-410;Demarchi;-23.72902 -46.55476;;-2.372.902;-4.655.476;I;Infantil III,Infantil IV,Infantil V;;;
511;Futuro Feliz II, Cei;Futuro Feliz 2;ceifuturofelizunidade2@gmail.com;;;;;9424;CEI FUTURO FELIZ II;0;Creche Parceira FUTURO FELIZ II;671;G3;Rua Tiete;35;;Vila Vivaldi - Rudge Ramos;09615-000;Rudge Ramos;-23.66892 -46.55501;;-2.366.892;-4.655.501;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
183;Futuro Feliz III, Cei (antigo Fraterno 1);Futuro Feliz 3;ceifuturofeliz23@gmail.com;;;4330-1712;;292230;FUTURO FELIZ III;1;Creche Parceira FUTURO FELIZ III;279;G1;Rua Setimo Guazzelli;99;;Jd. Trieste;09760-600;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70385 -46.53481;14;-2.370.385;-4.653.481;CC;Berçário Final,Infantil I,Infantil II;;;
519;Futuro Feliz V, Cei;Futuro Feliz 5;administrativo@abasc.com.br;;;43341457;;10036;CEI FUTURO FELIZ V - ASSOCIAÇÃO A PALAVRA DE DEUS;0;Creche Parceira FUTURO FELIZ V;675;G4;Rua Nossa Semhra Aparecida;14;;Montanhão;09792-400;;-23.75817 -46.53092;;-2.375.817;-4.653.092;CC;Berçário Final,Infantil I,Infantil II;;;
339;Futuro Feliz, Cei;Futuro Feliz 1;ceifuturofeliz20@gmail.com;crecherubemalves2019@gmail.com;associacao.apd@gmail.com;4334-1457;95958-8022;7435;CEI FUTURO FELIZ;1;Creche Parceira FUTURO FELIZ;662;G5;Rua Duarte Murtinho ;56;;Jd Silvina;09791-040;Jd. Silvina;-23.73870 -46.53870;;-2.373.870;-4.653.870;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
61;Geraldo de Melo Ferreira, EMEB;Geraldo Melo;geraldo.melo@saobernardo.sp.gov.br;;;4330-1758;;230017;GERALDO DE MELO FERREIRA EMEB;0;Geraldo de Melo Ferreira - EMEB;50;G1;Rua Almeida Leme;151;;Parque Sao Bernardo;09761-170;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70958 -46.52507;;-2.370.958;-4.652.507;C;Infantil I,Infantil II;;;
62;Geraldo Hypolito, EMEB Prof.;Geraldo Hypolito;geraldo.hypolito@saobernardo.sp.gov.br;;;4330-5961;;217670;GERALDO HYPOLITO PROFESSOR EMEB;0;Geraldo Hypólito, Professor - EMEB;51;G3;Rua Continental;787;;Vila Sao Joao (Anchieta);09726-411; Vila Euclides e Vila Marlene;-23.68518 -46.56252;;-2.368.518;-4.656.252;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
63;Gervasio Paz Folha, EMEB Vereador;Gervasio Paz;gervasio.folha@saobernardo.sp.gov.br;;;4173-3869;;430079;GERVASIO PAZ FOLHA VEREADOR EMEB;0;Gervásio Paz Folha, Vereador - EMEB;393;G3;Rua Genebra;189;;Bairro Suico;09663-080;Taboão;-23.65569 -46.59868;13;-2.365.569;-4.659.868;C;Berçário Final,Infantil I,Infantil II;;;63 OR 138
64;Gildo dos Santos, EMEB;Gildo dos Santos;gildo.santos@saobernardo.sp.gov.br;;;4109-9340;;229908;GILDO DOS SANTOS EMEB;0;Gildo dos Santos - EMEB;52;G6;Rua Profa. Pedra de Carvalho;20;;Jardim Lavinia;09811-140;Assunção (Jd. Lavínia e Vila Euro);-23.72556 -46.56405;;-2.372.556;-4.656.405;C;Infantil I,Infantil II;;;
65;Gofredo Teixeira da Silva Telles, EMEB;Gofredo Teixeira;gofredo.teixeira@saobernardo.sp.gov.br;;;4123-0644;;217682;GOFREDO TEIXEIRA DA SILVA EMEB;0;Gofredo Teixeira da Silva Telles - EMEB;53;G1;Rua Giacinto Tognato;1672;;Vl. Sto. Agostinho - Baeta Neves;09760-372;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70065 -46.53684;;-2.370.065;-4.653.684;F;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
66;Goncalves Dias, EMEB;Goncalves Dias;goncalves.dias@saobernardo.sp.gov.br;;;4178-3576;;50866;GONCALVES DIAS EMEB;0;Gonçalves Dias - EMEB;54;G3;Rua Gra-Bretanha;250;;Vl. Santa Luzia - Taboao;09667-030;Taboão;-23.66172 -46.60983;;-2.366.172;-4.660.983;I;;Infantil III,Infantil IV,Infantil V;;
67;Graciliano Ramos, EMEB;Graciliano Ramos;graciliano.ramos@saobernardo.sp.gov.br;;;4101-6090;4101-7089;50805;GRACILIANO RAMOS EMEB;0;Graciliano Ramos - EMEB;55;G4;Rua Joao D angelo;71;;Riacho Grande;09830-350;Parque Estoril, Riacho Grande e Finco;-23.77981 -46.52907;;-2.377.981;-4.652.907;I;;Infantil III,Infantil IV,Infantil V;;
68;Guilherme de Almeida, EMEB;Guilherme Almeida;guilherme.almeida@saobernardo.sp.gov.br;;;4351-6716;;50830;GUILHERME DE ALMEIDA EMEB;0;Guilherme de Almeida - EMEB;423;G6;Rua Padre Igino Francisco Teixeira,;90;;Vila Euro;09810-160;Assunção (Jd. Lavínia e Vila Euro);-23.71807 -46.56675;;-2.371.807;-4.656.675;I;Infantil III,Infantil IV,Infantil V;;;
69;Heitor Villa Lobos, EMEB;Heitor Villa Lobos;heitor.villalobos@saobernardo.sp.gov.br;;;4396-4077;;50891;HEITOR VILLA LOBOS EMEB;0;Heitor Villa-Lobos - EMEB;56;G2;Rua Mateos Demarchi;229;;Vl. Judite - Demarchi;09820-270;Demarchi;-23.73971 -46.55576;;-2.373.971;-4.655.576;IF;;Infantil II,Infantil III,Infantil IV,Infantil V;;
70;Helena Zanfelici da Silva, EMEB;Helena Zanfelici;helena.zanfelici@saobernardo.sp.gov.br;;;4101-8120;;93919;HELENA ZANFELICI DA SILVA EMEB;0;Helena Zanfelici da Silva - EMEB;57;G4;Rua Jose Farhat;80;;Finco;09831-405;Parque Estoril, Riacho Grande e Finco;-23.78699 -46.53781;;-2.378.699;-4.653.781;IF;;Infantil III,Infantil IV,Infantil V,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
182;Hermann Gmeiner, Aldeias SOS - Creche;Aldeias SOS CC;maria.tracatto@aldeiasinfantis.org.br;dayane.feitosa@aldeiasinfantis.org.br;;4354-0272;;292540;ALDEIAS INFANTIS SOS BRASIL;1;Creche Parceira ALDEIAS INFANTIS;286;G4;Estrada Ernesto Zabeu;200;;Tatetos - Riacho Grande;09835-000;Pós Balsa;-23.80800 -46.57725;;-2.380.800;-4.657.725;CC;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
217;Hilda Batazoli Teixeira, EMEB Profa (antiga Riacho Grande);Hilda Batazoli;riacho.grande@saobernardo.sp.gov.br;;;4101-8817;;5383;HILDA BATAZOLI TEIXEIRA PROFESSORA EMEB;0;Hilda Batazoli Teixeira, Professora - EMEB;582;G4;Rua Marcilio Conrado;350;;Riacho Grande;;Parque Estoril, Riacho Grande e Finco;-23.78367 -46.52799;18;-2.378.367;-4.652.799;C;Berçário Inicial,Berçário Final,Infantil I,Infantil II;;;
71;Hygino Baptista de Lima, EMEB;Hygino Baptista;hygino.baptista@saobernardo.sp.gov.br;;;4127-7133;;85807;HYGINO BAPTISTA DE LIMA EMEB;0;Hygino Baptista de Lima - EMEB;58;G2;Rua Abramo Luchesi;6;;Jardim Leblon;09781-030;Ferrazópolis;-23.72281 -46.53870;;-2.372.281;-4.653.870;I;Infantil III,Infantil IV,Infantil V;;;
72;Isidoro Battistin, EMEB;Isidoro Battistin;isidoro.battistin@saobernardo.sp.gov.br;;;4336-2062;;281980;ISIDORO BATTISTIN EMEB;0;Isidoro Battistin - EMEB;59;G2;Estrada Galvao Bueno;5085;;Battistini;09842-080;Batistini;-23.75587 -46.57759;4;-2.375.587;-4.657.759;IFE;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;EJA;72 OR 106
73;Italo Damiani, EMEB;Italo Damiani;italo.damiani@saobernardo.sp.gov.br;;;2630-5284;4397-5900 /4101-6840;217499;ITALO DAMIANI EMEB;0;Ítalo Damiani - EMEB;60;G4;Estrada do Taquacetuba;3234;;Bairro Taquacetuba - Riacho Grande;09835-570;Pós Balsa;-23.82080 -46.60623;;-2.382.080;-4.660.623;F;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
74;Ivaneide Nogueira, EMEB Profa.;Ivaneide Nogueira;ivaneide.nogueira@saobernardo.sp.gov.br;;;4357-3538;;61840;IVANEIDE NOGUEIRA PROFESSORA EMEB;0;Ivaneide Nogueira, Professora - EMEB;61;G4;Rua Iara Die Pereira;12500;;Santa Cruz;09835-557;Pós Balsa;-23.84323 -46.59758;;-2.384.323;-4.659.758;I;;Infantil III,Infantil IV,Infantil V;;
75;Jacob Zampieri, EMEB;Jacob Zampieri;jacob.zampieri@saobernardo.sp.gov.br;;;4178-1404;;430080;JACOB ZAMPIERI EMEB;0;Jacob Zampieri - EMEB;394;G3;Rua  Silas de Oliveira;92;;Jordanopolis;09894-050;Jordanópolis;-23.67931 -46.57791;10;-2.367.931;-4.657.791;C;Berçário Final,Infantil I,Infantil II;;;75 OR 155
76;Jandira Maria Casonato, EMEB Profa.;Jandira M Casonato;jandira.casonato@saobernardo.sp.gov.br;;;4123-0451;;217529;JANDIRA MARIA CASONATO PROFESSORA EMEB;0;Jandira Maria Casonato, Professora - EMEB;62;G3;Rua Padre Carmelo;59;;Jordanopolis;09892-000;Jordanópolis;-23.68577 -46.57100;;-2.368.577;-4.657.100;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
77;Janete Mally Betti Simoes, EMEB Profa.;Janete Mally;janete.mally@saobernardo.sp.gov.br;;;4125-0595;;278524;JANETE MALLY BETTI SIMOES PROFESSORA EMEB;0;Janete Mally Betti Simões, Professora - EMEB;63;G1;Rua dos Vianas;3520;;Jd.Industrial - Baeta Neves;09760-000;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70771 -46.52185;;-2.370.771;-4.652.185;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
201;Jesue Frantz Unidade I, Lar Escola;Jesue Frantz 1 CC;rosemeire.jangrossi@lejf.org.br;;;4178-4422;;292333;JESUE FRANTZ LAR ESCOLA;1;Creche Parceira JÊSUE FRANTZ I;267;G3;Rua Camargo;183/184;;Vila Pauliceia;;Paulicéia;-23.66480 -46.59574;;-2.366.480;-4.659.574;CC;Infantil I,Infantil II;;;
327;Jesue Frantz Unidade II, Lar Escola;Jesue Frantz 2 CC;dayse.felix@lejf.org.br;;marli.rodriguez@lejf.org.br;4057-1107;;6256;CRECHE PARCEIRA JÊSUE FRANTZ II;1;Creche Parceira JÊSUE FRANTZ II;653;G1;Rua Benedito Luiz Rodrigues;864;;Jardim Palermo;;Vila São Pedro, Vila Esperança e Jardim Irajá;-23.71245 -46.53598;;-2.371.245;-4.653.598;CC;Infantil I,Infantil II;;;
329;Jesue Frantz Unidade III, Lar Escola;Jesue Frantz 3 CC;roberta.pereira@lejf.org.br;;;4317-2704;;6248;CRECHE PARCEIRA JÊSUE FRANTZ III;1;Creche Parceira JÊSUE FRANTZ III;655;G2;Rua Tiradentes;398;;Santa Terezinha;09780-000;Ferrazópolis;-23.71540 -46.54269;;-2.371.540;-4.654.269;CC;Infantil I,Infantil II;;;
346;Jesue Frantz Unidade IV, Lar Escola;Jesue Frantz 4 CC;marli.rodriguez@lejf.org.br;;;0;;7915;INSTITUTO JESUE EDUCAÇÃO INFANTIL - IV;1;Creche Parceira JÊSUE FRANTZ IV;667;G3;Rua Capitao Alberto Mendes Júnior;96;;Jardim Beatriz;09895-050;Planalto;-23.70126 -46.57409;;-2.370.126;-4.657.409;CC;Berçário Inicial,Berçário Final,Infantil I;;;
305;Jesus Bambino, Obras Sociais Sao Pedro Apostolo III;Jesus Bambino CC;osspajesusbambino@gmail.com;;;4357-7335;4358-2244;6597;OBRAS SOCIAIS SÃO PEDRO APÓSTOLO III (CRECHE JESUS BAMBINO);1;Creche Parceira SÃO PEDRO III - CRECHE JESUS BAMBINO;581;G3;Rua Dom Oscar Romerio;114;;Jardim das Orquideas;09854-350;Jd. Orquídeas;-23.74853 -46.60445;;-2.374.853;-4.660.445;CC;Infantil I,Infantil II;;;
194;Jesus de Nazareth I, Creche;Jesus Naz 1 CC;crechejesusdenazarethum@gmail.com;;;4358-2298;4358-3006;291808;JESUS DE NAZARETH CRECHE;1;Creche Parceira JESUS DE NAZARETH I;262;G3;Rua Rita Mendes de Oliveira;419;;Jardim das Orquideas;09854-310;Jd. Orquídeas;-23.74794 -46.60306;;-2.374.794;-4.660.306;CC;Infantil I,Infantil II;;;
195;Jesus de Nazareth II, Creche;Jesus Naz 2 CC;crechenazarethdois@gmail.com;crechejesusdenazarethdois@yahoo.com.br;;4357-9481;;6562;CRECHE JESUS DE NAZARETH II;1;Creche Parceira JESUS DE NAZARETH II;282;G3;Rua Elizabeth Lobo;1315;;Jardim Las Palmas;09854-310;Jd. Orquídeas;-23.76067 -46.60909;;-2.376.067;-4.660.909;CC;Berçário Final,Infantil I,Infantil II;;;
79;Jorge Marcos de Oliveira, Dom, EMEB;Dom Jorge;jorge.marcos@saobernardo.sp.gov.br;;;4339-4088;;77537;JORGE MARCOS DE OLIVEIRA DOM EMEB O BISPO DOS TRABALHADORES;0;Jorge Marcos de Oliveira - O bispo dos trabalhadores, Dom - EMEB;66;G4;Estrada da Pedra Branca;754;;Areiao - Riacho Grande;09792-000;Areião;-23.75446 -46.53048;;-2.375.446;-4.653.048;CI;;Infantil II,Infantil III,Infantil IV,Infantil V;;
172;Jose Arnaud da Silva, EMEB (Pinheirinho);Jose Arnaud;jose.arnaud@saobernardo.sp.gov.br;;;4358-2333;;447024;JOSE ARNAUD DA SILVA EMEB;0;José Arnaud da Silva - EMEB;539;G2;Rua Paineiras;1;;Jardim Pinheiros;09854-700;Jd. Represa, Parque Los Angeles e Parque Imigrantes;-23.75995 -46.59732;;-2.375.995;-4.659.732;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
80;Jose Augusto Oliveira Santos, EMEB;Jose Augusto;jose.augusto@saobernardo.sp.gov.br;;;4357-5533;;229945;JOSE AUGUSTO OLIVEIRA SANTOS EMEB;0;José Augusto Oliveira Santos - EMEB;67;G3;Rua Sheila de Mello Sobral;17;;Alvarenga;09854-540;Jd. Orquídeas;-23.75106 -46.59927;;-2.375.106;-4.659.927;C;Berçário Final,Infantil I,Infantil II;;;
81;Jose Avilez, Vereador, EMEB;Jose Avilez;jose.avilez@saobernardo.sp.gov.br;;;4396-8337;;82296;JOSE AVILEZ VEREADOR EMEB;0;José Avilez, Vereador - EMEB;147;G2;Rua Antonio S. Zampiere;120;;Bairro Demarchi;09820-050;Demarchi;-23.73504 -46.55691;;-2.373.504;-4.655.691;CIF;;Berçário Final,Infantil I,Infantil II,Infantil III,Infantil IV,Infantil V,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
82;Jose Cataldi, EMEB;Jose Cataldi;jose.cataldi@saobernardo.sp.gov.br;;;4347-8702;;82417;JOSE CATALDI EMEB;0;José Cataldi - EMEB;9;G2;Rua Joao Gerbelli;330;;Bairro Demarchi;09820-380;Demarchi;-23.73845 -46.55005;;-2.373.845;-4.655.005;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
83;Jose de Alencar, EMEB;Jose Alencar;jose.alencar@saobernardo.sp.gov.br;;;4351-1899;;50763;JOSE DE ALENCAR EMEB;0;José de Alencar - EMEB;68;G6;Rua Benedetto Marson;17;;Vl.Marchi - Assuncao;;Assunção (Jd. Lavínia e Vila Euro);-23.72117 -46.56268;;-2.372.117;-4.656.268;I;Infantil III,Infantil IV,Infantil V;;;
84;Jose de Anchieta, EMEB;Jose Anchieta;jose.anchieta@saobernardo.sp.gov.br;;;4109-3794;;50799;JOSE DE ANCHIETA EMEB;0;José de Anchieta - EMEB;69;G3;Rua Guadalajara;510;;Jd. das Palmeiras - Assuncao;09812-500;Alves Dias;-23.72091 -46.57876;;-2.372.091;-4.657.876;I;Infantil III,Infantil IV,Infantil V;;;
85;Jose Ferraz de Magalhaes Castro, EMEB Dr.;Jose Ferraz;jose.ferraz@saobernardo.sp.gov.br;;;4398-7175;;217542;JOSE FERRAZ DE MAGALHAES CASTRO DR EMEB;0;José Ferraz de Magalhães Castro, Doutor - EMEB;70;G3;Rua Jose Ferraz Magalhaes Castro;155;;Vl. Rosa - Independencia;;Jd. Santo Ignácio;-23.69942 -46.58536;;-2.369.942;-4.658.536;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
86;Jose Getulio Escobar Bueno, EMEB Prof.;Jose Getulio;jose.getulio@saobernardo.sp.gov.br;;;4341-5844;;217530;JOSE GETULIO ESCOBAR BUENO PROF EMEB;0;José Getúlio Escobar Bueno, Professor - EMEB;71;G3;Rua Araldo Armani;381;;Jd.Calux - Planalto;09895-740;Planalto;-23.70250 -46.56681;9;-2.370.250;-4.656.681;FE;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;86 OR 109
87;Jose Ibiapino Franklin, EMEB;Jose Ibiapino;jose.ibiapino@saobernardo.sp.gov.br;;;4357-3522;;217554;JOSE IBIAPINO FRANKLIN EMEB;0;José Ibiapino Franklin - EMEB;72;G4;Rua Sete;14;;Bairro Santa Cruz - Riacho Grande;09835-563;Pós Balsa;-23.84401 -46.59895;;-2.384.401;-4.659.895;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;EJA;
88;Jose Luiz Juca, EMEB;Jose L Juca;jose.juca@saobernardo.sp.gov.br;;;4127-2727;;281967;JOSE LUIZ JUCA EMEB;0;José Luiz Jucá - EMEB;73;G1;Rua Tiradentes;3180;;Santa Terezinha;09781-220;Vila São Pedro, Vila Esperança e Jardim Irajá;-23.72958 -46.52723;;-2.372.958;-4.652.723;FE;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;;
89;Jose Mauricio, Padre, EMEB;Jose Mauricio;jose.mauricio@saobernardo.sp.gov.br;;;4392-2972;;82831;JOSE MAURICIO PADRE EMEB;0;José Maurício, Padre - EMEB;74;G3;Rua Jose Dias Donadelli;505;;Vl. Ferreira - Alves Dias;09851-180;Cooperativa;-23.71550 -46.58924;;-2.371.550;-4.658.924;I;Infantil III,Infantil IV,Infantil V;;;
90;Jose Roberto Preto, EMEB;Jose Roberto Preto;jose.roberto@saobernardo.sp.gov.br;;;4127-5777;;430122;JOSE ROBERTO PRETO EMEB;0;José Roberto Preto - EMEB;397;G1;Av. Tiradentes;1893;;Jardim Iraja;09781-220;Vila São Pedro, Vila Esperança e Jardim Irajá;-23.72766 -46.53104;;-2.372.766;-4.653.104;C;Berçário Final,Infantil I,Infantil II;;;
91;Josue de Castro, EMEB;Josue Castro;josue.castro@saobernardo.sp.gov.br;;;4122-4019;;230005;JOSUE DE CASTRO EMEB;0;Josué de Castro - EMEB;75;G1;Rua Primeiro de Maio;100;;Jd.Farina - Baeta Neves;09760-530;Jardim Farina, Parque São Bernardo e Alto Industrial;-23.70283 -46.53592;;-2.370.283;-4.653.592;C;Infantil I,Infantil II;;;
92;Julio Atlas, EMEB Escritor;Julio Atlas;julio.atlas@saobernardo.sp.gov.br;;;4178-6618;;217566;JULIO ATLAS ESCRITOR EMEB;0;Júlio Atlas, Escritor - EMEB;76;G3;Rua Francisco Alves;1301;;Pauliceia;09692-100;Paulicéia;-23.66614 -46.59202;;-2.366.614;-4.659.202;F;;1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
93;Julio de Grammont, EMEB;Julio Grammont;julio.grammont@saobernardo.sp.gov.br;;;2630-7775;26307780;192338;JULIO DE GRAMMONT EMEB;0;Júlio de Grammont - EMEB;31;G3;Av. Dom Jaime Bairro Camara;201;;Planalto;09895-400;Planalto;-23.70731 -46.56376;;-2.370.731;-4.656.376;CIF;;Infantil III,Infantil IV,Infantil V,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
141;Karolina Zofia Lewandowska, EMEB;Karolina Zofia;karolina.zofia@saobernardo.sp.gov.br;;;4357-6992;voip 5202;448059;KAROLINA ZOFIA LEWANDOWSKA EMEB;0;Karolina Zofia Lewandowska - EMEB;401;G6;Estrada da Cama Patente;510;;Parque Esmeralda;09842-100;Alvarenga e Parque Esmeralda;-23.74499 -46.59593;17;-2.374.499;-4.659.593;IF;;Infantil III,Infantil IV,Infantil V,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano;;
